date,amount,category,description
2024-01-01,2800,income,Gehalt Januar
2024-01-03,-750,rent,Miete
2024-01-05,-45,transport,Monatsticket ÖPNV
2024-01-07,-120,groceries,Wocheneinkauf
2024-01-10,-35,utilities,Strom
2024-01-12,-15,streaming,Netflix Abo
2024-01-12,-10,streaming,Spotify Premium
2024-01-15,-65,restaurant,Essen gehen
2024-01-18,-85,groceries,Einkauf
2024-01-20,-30,utilities,Internet
2024-01-22,-45,restaurant,Essen gehen
2024-01-25,-180,shopping,Kleidung
2024-01-28,-25,transport,Taxi
2024-02-01,2800,income,Gehalt Februar
2024-02-03,-750,rent,Miete
2024-02-05,-45,transport,Monatsticket ÖPNV
2024-02-07,-110,groceries,Wocheneinkauf
2024-02-10,-35,utilities,Strom
2024-02-12,-15,streaming,Netflix Abo
2024-02-12,-10,streaming,Spotify Premium
2024-02-14,-120,restaurant,Valentinstag
2024-02-18,-95,groceries,Einkauf
2024-02-20,-30,utilities,Internet
2024-02-22,-50,restaurant,Essen gehen
2024-02-25,-25,transport,ÖPNV
2024-03-01,2800,income,Gehalt März
2024-03-03,-750,rent,Miete
2024-03-05,-45,transport,Monatsticket ÖPNV
2024-03-07,-130,groceries,Wocheneinkauf
2024-03-10,-40,utilities,Strom
2024-03-12,-15,streaming,Netflix Abo
2024-03-12,-10,streaming,Spotify Premium
2024-03-15,-70,restaurant,Essen gehen
2024-03-18,-100,groceries,Einkauf
2024-03-20,-30,utilities,Internet
2024-03-22,-55,restaurant,Essen gehen
2024-03-25,-250,shopping,Frühlingskleidung
2024-03-28,-30,transport,ÖPNV
2024-04-01,2800,income,Gehalt April
2024-04-03,-750,rent,Miete
2024-04-05,-45,transport,Monatsticket ÖPNV
2024-04-07,-125,groceries,Wocheneinkauf
2024-04-10,-35,utilities,Strom
2024-04-12,-15,streaming,Netflix Abo
2024-04-12,-10,streaming,Spotify Premium
2024-04-15,-80,restaurant,Essen gehen
2024-04-18,-90,groceries,Einkauf
2024-04-20,-30,utilities,Internet
2024-04-22,-60,restaurant,Essen gehen
2024-04-25,-25,transport,ÖPNV
2024-05-01,2800,income,Gehalt Mai
2024-05-03,-750,rent,Miete
2024-05-05,-45,transport,Monatsticket ÖPNV
2024-05-07,-140,groceries,Wocheneinkauf
2024-05-10,-38,utilities,Strom
2024-05-12,-15,streaming,Netflix Abo
2024-05-12,-10,streaming,Spotify Premium
2024-05-15,-90,restaurant,Essen gehen
2024-05-18,-105,groceries,Einkauf
2024-05-20,-30,utilities,Internet
2024-05-22,-75,restaurant,Essen gehen
2024-05-25,-180,shopping,Sommerkleidung
2024-05-28,-30,transport,ÖPNV
2024-06-01,2800,income,Gehalt Juni
2024-06-03,-750,rent,Miete
2024-06-05,-45,transport,Monatsticket ÖPNV
2024-06-07,-115,groceries,Wocheneinkauf
2024-06-10,-36,utilities,Strom
2024-06-12,-15,streaming,Netflix Abo
2024-06-12,-10,streaming,Spotify Premium
2024-06-15,-95,restaurant,Essen gehen
2024-06-18,-100,groceries,Einkauf
2024-06-20,-30,utilities,Internet
2024-06-22,-85,restaurant,Essen gehen
2024-06-25,-300,shopping,Urlaubsvorbereitung
2024-06-28,-25,transport,ÖPNV
2024-07-01,2800,income,Gehalt Juli
2024-07-03,-750,rent,Miete
2024-07-05,-45,transport,Monatsticket ÖPNV
2024-07-07,-100,groceries,Wocheneinkauf
2024-07-10,-42,utilities,Strom
2024-07-12,-15,streaming,Netflix Abo
2024-07-12,-10,streaming,Spotify Premium
2024-07-15,-120,restaurant,Essen gehen
2024-07-18,-85,groceries,Einkauf
2024-07-20,-30,utilities,Internet
2024-07-22,-100,restaurant,Essen gehen
2024-07-25,-800,shopping,Urlaub
2024-07-28,-30,transport,ÖPNV
